Date,Year,MonthNumber,MonthName,Quarter,YearMonth
7/1/2022 0:00,2022,7,July,Q3,2022-07
7/2/2022 0:00,2022,7,July,Q3,2022-07
7/3/2022 0:00,2022,7,July,Q3,2022-07
7/4/2022 0:00,2022,7,July,Q3,2022-07
7/5/2022 0:00,2022,7,July,Q3,2022-07
7/6/2022 0:00,2022,7,July,Q3,2022-07
7/7/2022 0:00,2022,7,July,Q3,2022-07
7/8/2022 0:00,2022,7,July,Q3,2022-07
7/9/2022 0:00,2022,7,July,Q3,2022-07
7/10/2022 0:00,2022,7,July,Q3,2022-07
7/11/2022 0:00,2022,7,July,Q3,2022-07
7/12/2022 0:00,2022,7,July,Q3,2022-07
7/13/2022 0:00,2022,7,July,Q3,2022-07
7/14/2022 0:00,2022,7,July,Q3,2022-07
7/15/2022 0:00,2022,7,July,Q3,2022-07
7/16/2022 0:00,2022,7,July,Q3,2022-07
7/17/2022 0:00,2022,7,July,Q3,2022-07
7/18/2022 0:00,2022,7,July,Q3,2022-07
7/19/2022 0:00,2022,7,July,Q3,2022-07
7/20/2022 0:00,2022,7,July,Q3,2022-07
7/21/2022 0:00,2022,7,July,Q3,2022-07
7/22/2022 0:00,2022,7,July,Q3,2022-07
7/23/2022 0:00,2022,7,July,Q3,2022-07
7/24/2022 0:00,2022,7,July,Q3,2022-07
7/25/2022 0:00,2022,7,July,Q3,2022-07
7/26/2022 0:00,2022,7,July,Q3,2022-07
7/27/2022 0:00,2022,7,July,Q3,2022-07
7/28/2022 0:00,2022,7,July,Q3,2022-07
7/29/2022 0:00,2022,7,July,Q3,2022-07
7/30/2022 0:00,2022,7,July,Q3,2022-07
7/31/2022 0:00,2022,7,July,Q3,2022-07
7/1/2023 0:00,2023,7,July,Q3,2023-07
7/2/2023 0:00,2023,7,July,Q3,2023-07
7/3/2023 0:00,2023,7,July,Q3,2023-07
7/4/2023 0:00,2023,7,July,Q3,2023-07
7/5/2023 0:00,2023,7,July,Q3,2023-07
7/6/2023 0:00,2023,7,July,Q3,2023-07
7/7/2023 0:00,2023,7,July,Q3,2023-07
7/8/2023 0:00,2023,7,July,Q3,2023-07
7/9/2023 0:00,2023,7,July,Q3,2023-07
7/10/2023 0:00,2023,7,July,Q3,2023-07
7/11/2023 0:00,2023,7,July,Q3,2023-07
7/12/2023 0:00,2023,7,July,Q3,2023-07
7/13/2023 0:00,2023,7,July,Q3,2023-07
7/14/2023 0:00,2023,7,July,Q3,2023-07
7/15/2023 0:00,2023,7,July,Q3,2023-07
7/16/2023 0:00,2023,7,July,Q3,2023-07
7/17/2023 0:00,2023,7,July,Q3,2023-07
7/18/2023 0:00,2023,7,July,Q3,2023-07
7/19/2023 0:00,2023,7,July,Q3,2023-07
7/20/2023 0:00,2023,7,July,Q3,2023-07
7/21/2023 0:00,2023,7,July,Q3,2023-07
7/22/2023 0:00,2023,7,July,Q3,2023-07
7/23/2023 0:00,2023,7,July,Q3,2023-07
7/24/2023 0:00,2023,7,July,Q3,2023-07
7/25/2023 0:00,2023,7,July,Q3,2023-07
7/26/2023 0:00,2023,7,July,Q3,2023-07
7/27/2023 0:00,2023,7,July,Q3,2023-07
7/28/2023 0:00,2023,7,July,Q3,2023-07
